kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
11,23,10,3,2,1,0,100
37,37,93,4,1,1,1,100
47,41,100,3,2,1,1,100
48,38,109,3,2,0,1,100
30,13,51,4,2,1,1,100
6,20,10,2,2,1,0,100
14,29,17,4,2,1,0,100
19,40,22,3,2,1,0,100
40,39,73,2,2,1,0,100
25,14,37,1,1,0,1,100
16,10,40,2,2,2,1,100
13,19,10,4,2,1,0,100
8,13,12,3,2,0,0,100
43,45,88,4,2,1,0,100
21,9,23,4,2,1,1,100
5,16,6,3,2,0,0,100
46,53,103,3,2,2,1,100
24,29,45,3,2,1,1,100
22,9,31,3,2,1,1,100
21,12,33,2,1,0,1,100
36,38,57,4,2,1,0,100
19,27,19,3,2,1,0,100
11,20,18,4,2,2,0,100
28,10,36,3,2,1,1,100
31,29,55,3,2,1,1,100
41,15,56,3,2,2,1,100
14,20,17,2,1,0,0,100
26,4,32,3,2,1,1,100
45,41,81,1,2,0,1,100
25,37,32,0,0,0,0,100
39,25,62,4,2,1,1,100
24,15,46,1,1,0,1,100
18,27,25,2,2,1,1,100
30,28,68,4,1,2,1,100
15,30,25,2,2,1,0,100
25,18,40,3,2,1,1,100
21,5,35,1,2,1,1,100
38,52,75,3,2,0,0,100
26,19,67,1,0,0,1,100
35,15,64,3,2,1,1,100
18,31,25,3,2,1,0,100
39,18,55,3,1,1,1,100
26,43,38,3,2,1,0,100
65,60,121,3,2,1,1,100
31,38,72,5,2,1,0,100
19,28,33,2,2,2,0,100
12,25,17,2,2,1,0,100
22,16,53,4,2,2,1,100
8,17,10,2,2,0,0,100
27,29,36,3,2,1,0,100
20,29,26,4,2,1,0,100
39,20,55,2,2,0,1,100
34,20,43,1,2,0,1,100
18,26,39,3,2,1,0,100
31,10,46,4,2,1,1,100
38,6,50,2,2,0,1,100
8,25,12,3,2,0,0,100
17,24,29,1,2,1,0,100
47,43,85,2,2,1,1,100
20,21,28,3,1,1,0,100
37,48,71,4,2,1,1,100
13,24,20,4,2,1,0,100
50,59,129,3,2,1,1,100
27,7,20,2,2,1,1,100
27,33,62,3,2,2,0,100
28,37,41,2,1,1,0,100
35,20,28,3,1,1,1,100
22,6,31,4,2,2,1,100
25,36,56,4,1,1,0,100
3,17,4,5,2,2,0,100
14,16,22,3,2,1,0,100
36,31,99,4,1,1,1,100
13,35,28,2,2,0,0,100
28,25,66,2,2,2,1,100
12,9,18,4,2,1,1,100
31,21,68,3,2,1,1,100
46,77,29,4,2,0,0,100
42,70,59,2,2,0,0,100
13,37,25,2,2,1,0,100
18,25,26,3,2,1,0,100
17,35,19,3,2,1,0,100
36,29,85,2,2,2,1,100
16,37,38,4,2,2,0,100
17,21,27,2,1,2,0,100
9,25,12,4,1,0,0,100
15,8,17,4,2,2,1,100
31,28,66,2,2,1,1,100
21,24,32,3,1,1,1,100
15,29,17,2,2,0,0,100
28,39,54,2,2,1,0,100
5,26,9,4,2,0,0,100
23,34,39,3,2,1,0,100
33,14,55,4,2,1,1,100
34,14,46,2,1,0,1,100
17,43,20,3,2,0,0,100
31,18,42,3,1,1,1,100
23,7,28,2,2,1,1,100
11,27,12,2,2,1,0,100
55,38,63,2,2,0,1,100
18,34,18,1,2,0,0,100
32,16,51,3,2,1,1,100
5,27,9,4,2,3,0,100
15,27,24,2,2,1,0,100
33,45,84,5,2,2,0,100
16,30,24,1,2,1,0,100
33,24,60,0,0,0,1,100
21,3,26,0,0,0,1,100
13,19,18,0,0,0,0,100
18,5,21,0,0,0,1,100
25,29,55,0,0,0,1,100
27,28,52,0,0,0,1,100
19,27,24,0,0,0,0,100
14,33,26,0,0,0,0,100
11,33,21,0,0,0,0,100
32,14,34,0,0,0,1,100
37,23,56,0,0,0,1,100
32,19,41,0,0,0,1,100
21,31,50,0,0,0,0,100
28,16,47,0,0,0,1,100
16,5,15,0,0,0,1,100
15,7,19,0,0,0,1,100
34,19,61,0,0,0,1,100
38,19,79,0,0,0,1,100
23,11,41,0,0,0,1,100
15,12,28,0,0,0,1,100
12,2,14,0,0,0,1,100
13,21,25,0,0,0,0,100
41,23,70,0,0,0,1,100
31,7,42,0,0,0,1,100
22,8,39,0,0,0,1,100
19,34,28,0,0,0,0,100
35,40,62,0,0,0,0,100
30,18,56,0,0,0,1,100
25,13,27,0,0,0,1,100
25,12,35,0,0,0,1,100
11,34,12,0,0,0,0,100
36,23,37,0,0,0,1,100
24,24,46,0,0,0,1,100
38,39,63,0,0,0,0,100
7,25,10,0,0,0,0,100
43,30,66,0,0,0,1,100
13,18,15,0,0,0,0,100
5,20,7,0,0,0,0,100
45,10,59,0,0,0,1,100
52,45,75,0,0,0,1,100
44,32,74,0,0,0,1,100
12,19,19,0,0,0,0,100
17,31,27,0,0,0,0,100
15,5,19,0,0,0,1,100
22,36,29,0,0,0,0,100
