,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore
163,200,Win,True,False,True,True,True,False,9,1,1,4,0,0,0
164,200,Win,True,True,False,False,True,True,4,0,0,2,0,1,0
165,200,Win,True,True,False,False,True,True,2,0,0,2,0,2,0
166,200,Fail,True,False,False,False,False,False,1,0,0,1,0,0,0
167,200,Fail,True,True,False,True,False,True,3,0,1,1,0,2,0
168,200,Win,True,True,True,False,True,False,5,1,0,2,0,0,0
169,200,Win,True,True,False,False,False,True,3,0,0,0,0,1,0
170,200,Win,True,False,True,True,True,False,5,1,1,4,0,0,0
171,200,Fail,True,False,False,False,False,True,2,0,0,0,0,1,0
172,200,Win,True,True,True,True,True,True,8,1,1,4,0,2,0
173,200,Win,False,True,True,False,False,True,7,2,0,2,0,1,0
174,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
175,200,Win,False,False,False,True,False,False,6,0,2,2,0,0,0
176,200,Fail,False,False,False,False,False,True,0,0,0,0,0,1,0
177,200,Fail,True,False,False,False,False,False,1,0,0,1,0,0,0
178,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0
179,200,Fail,True,False,False,False,True,False,2,0,0,1,0,0,0
180,200,Win,False,True,True,True,True,True,7,1,1,2,0,1,0
181,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
182,200,Win,False,False,False,True,True,False,7,1,1,2,0,0,0
183,200,Win,True,False,False,False,False,False,10,1,0,2,0,0,0
184,200,Fail,False,False,False,False,False,True,2,0,0,1,0,1,0
185,200,Win,True,True,True,True,True,True,8,1,1,3,0,1,0
186,200,Fail,False,True,False,False,True,True,4,0,0,3,0,1,0
187,200,Win,False,True,False,False,True,True,5,0,0,3,0,1,0
188,200,Fail,False,False,False,False,False,True,4,0,0,1,0,1,0
189,200,Win,False,True,True,True,False,True,5,1,1,2,0,2,0
190,200,Fail,False,False,False,False,False,False,1,0,0,1,0,0,0
191,200,Win,False,True,True,False,True,True,11,3,0,4,0,1,0
192,200,Win,True,True,False,False,True,True,3,0,0,2,0,2,0
193,200,Fail,True,True,False,True,True,False,1,0,1,3,0,0,0
194,200,Win,False,True,True,False,True,True,7,1,0,3,0,2,0
195,200,Win,False,False,False,True,False,True,3,0,1,1,0,1,0
196,200,Win,False,False,True,True,True,False,6,1,1,3,0,0,0
197,200,Fail,False,True,False,False,False,True,2,0,0,0,0,1,0
198,200,Fail,False,True,False,False,False,True,2,0,0,0,0,2,0
199,200,Fail,False,False,False,False,False,False,3,0,0,0,0,0,0
200,200,Fail,True,False,True,False,False,False,2,1,0,0,0,0,0
201,200,Win,False,True,True,False,False,False,4,2,0,0,0,0,0
202,200,Win,True,True,False,False,True,True,3,0,0,2,0,1,0
203,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
204,200,Fail,True,False,False,False,False,False,4,1,0,0,0,0,0
205,200,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0
206,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0
207,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
208,200,Fail,True,False,False,False,False,False,2,0,0,0,0,0,0
209,200,Fail,True,False,True,False,False,False,4,1,0,0,0,0,0
210,200,Win,True,True,True,False,False,False,4,1,0,0,0,0,0
211,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
212,200,Fail,False,True,False,False,False,False,1,0,0,0,0,0,0
213,200,Fail,True,False,True,False,False,False,2,1,0,0,0,0,0
214,200,Win,False,True,True,False,False,False,4,2,0,0,0,0,0
215,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0
216,200,Fail,False,True,False,False,False,False,1,0,0,0,0,0,0
217,200,Win,True,False,False,False,False,False,4,1,0,0,0,0,0
218,200,Win,False,True,True,False,False,False,4,2,0,0,0,0,0
219,200,Win,True,True,True,False,False,False,2,1,0,0,0,0,0
220,200,Fail,True,False,False,False,False,False,1,0,0,0,0,0,0
221,200,Win,True,True,True,False,False,False,4,1,0,0,0,0,0
222,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
223,200,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0
224,200,Fail,True,True,False,False,False,False,1,0,0,0,0,0,0
225,200,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0
226,200,Win,False,True,True,False,False,False,2,2,0,0,0,0,0
227,200,Win,False,True,True,False,False,False,4,2,0,0,0,0,0
228,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
229,200,Win,False,False,True,True,True,True,7,1,2,4,0,2,0
230,200,Win,True,True,True,False,True,True,10,2,0,2,0,1,0
231,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
