teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,gameDuration
100,Fail,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,6,1,1,1,1,2064
100,Win,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,11,3,1,3,1,1680
100,Win,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,10,2,0,1,1,1122
100,Fail,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,924
100,Win,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,7,1,0,2,1,1008
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,1,1,2172
100,Win,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,8,1,1,3,1,1547
100,Fail,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,1,2,1678
100,Win,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,0,0,1,2,1266
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,1,1471
100,Win,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,0,0,1,0,930
100,Win,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7,1,0,2,1,1278
100,Fail,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,2,1569
100,Win,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,2,1,931
100,Win,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,9,2,2,3,1,1896
100,Win,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,0,2,4,1,2521
100,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,1,1126
100,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,0,0,1,1,1661
100,Win,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,8,1,0,2,0,1868
100,Win,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,11,3,2,3,2,2212
100,Fail,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,2,0,932
100,Fail,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,1,0,2181
100,Win,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,9,3,1,4,0,1717
100,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,1,1731
100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,0,1696
