assists,champLevel,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,teamId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
1,8,92,92,4305,4,0,0,0,0,0,0,0,4159,4150,0,0,1,0,0,1,397,4882,2144,3200,0,0,0,8,200,0,4031,562,5250,0,22,13290,2706,8450,396,32,41,4,0,4376,0,0,0,28,6,6,15,0
1,10,6899,0,6537,3,0,0,0,0,0,0,0,5741,5350,0,1,2,0,2,1,414,64450,4332,4532,105,25,61,9,200,0,14470,568,10110,0,2,85388,5456,14643,8905,6,154,4,0,6468,555,0,0,20,4,3,4,0
2,12,1013,746,3392,4,0,0,0,0,0,0,0,7829,6650,0,1,3,0,2,1,343,3788,725,4769,4,4,0,10,200,0,66741,7528,3797,0,1,74243,8977,8660,220,152,39,1,0,3713,724,94,0,14,2,1,7,0
0,7,0,0,3060,3,0,0,0,0,0,0,0,4149,3425,0,0,0,197,0,0,556,0,0,1571,0,0,0,1,100,0,25119,4943,5239,0,16,25119,4943,6931,1963,93,60,3,0,0,0,120,0,3,1,1,3,0
0,8,1857,0,8518,8,0,0,0,0,0,0,0,4315,3950,0,0,1,0,0,1,177,149,149,1603,0,0,0,2,100,0,23031,3239,11323,0,11,27383,4453,15329,86,65,52,1,0,4203,1064,2403,0,15,4,0,8,0
0,7,0,0,2273,1,0,0,0,0,0,0,0,2969,2000,0,0,0,0,0,0,726,2297,1037,923,0,0,0,3,100,0,2807,579,2811,0,5,7719,1616,3887,1234,17,45,2,0,2615,0,152,0,11,2,0,6,0
0,9,44,0,3567,4,0,0,0,0,0,0,0,4277,3500,0,0,0,0,0,0,287,24386,2808,6131,0,0,0,4,100,0,7686,1968,3335,0,5,39335,4966,9899,1435,88,85,2,0,7261,190,432,0,7,2,2,4,0
1,8,3495,0,4801,3,0,0,0,0,0,0,0,4081,3425,0,0,0,0,0,0,602,3403,186,2626,68,0,55,5,100,0,57938,3204,5517,0,8,65715,4092,8451,2881,12,242,1,0,4374,702,306,0,5,0,0,1,0
3,11,4945,4945,3723,0,0,0,0,0,1,0,0,7040,5275,1,1,3,0,3,1,0,55084,6927,2113,0,0,0,6,200,0,8119,1368,5974,0,9,63204,8296,8087,3039,125,224,1,0,0,0,0,3,7,1,0,5,1
5,8,1576,1576,2195,0,0,0,0,0,0,0,0,4788,4050,0,0,1,0,0,1,0,6857,2674,640,4,0,4,7,200,0,5601,658,3354,0,18,19027,3604,3994,0,21,82,0,0,6568,272,0,0,16,4,1,7,1
2,9,4143,4143,2830,0,0,0,0,0,0,0,0,6990,5800,0,1,4,159,4,1,0,899,599,517,4,0,4,8,200,0,50516,7829,5701,0,25,51795,8549,7218,764,122,453,1,0,380,120,1000,0,7,0,2,2,1
7,10,11263,579,7205,0,0,0,0,0,0,0,0,6999,5350,0,1,3,0,3,1,0,33368,1207,1290,80,16,47,9,200,0,33881,3041,6970,0,11,74174,4516,9498,4396,11,185,1,0,6924,268,1237,1,17,4,2,5,1
