blueteamwin,bluecreepsPerMin,bluegoldPerMinDeltas,bluexpPerMin,bluecsDiffPerMin,bluexpDiffPerMin,redteamwin,redcreepsPerMin,redgoldPerMin,redxpPerMin,redcsDiffPerMin,redxpDiffPerMin
0.00,7.50,343.50,469.30,1.90,67.30,1.00,5.60,270.50,402.00,-1.90,-67.30
1.00,6.10,284.70,404.40,-1.60,-31.10,0.00,0.20,233.90,369.90,-0.30,9.90
1.00,7.60,259.10,318.80,-1.20,-19.10,0.00,7.60,271.00,416.70,-0.80,-72.70
1.00,8.40,287.10,489.40,0.80,72.70,0.00,9.70,332.40,343.30,1.20,19.10
1.00,0.50,322.00,360.00,0.30,-9.90,0.00,1.50,191.90,263.90,1.20,19.10
1.00,1.20,149.00,250.20,-1.20,-19.10,0.00,7.70,262.50,435.50,1.60,31.10
0.00,1.50,178.30,289.50,-0.10,30.20,1.00,0.90,306.10,324.20,0.70,-42.20
0.00,0.20,302.30,366.40,-0.70,42.20,1.00,9.10,292.20,498.00,0.30,2.00
0.00,7.50,348.90,449.10,0.80,47.60,1.00,1.30,193.90,227.80,0.10,-30.20
0.00,7.70,287.70,341.10,-0.10,30.20,1.00,8.10,270.60,342.40,0.10,-30.20
0.00,8.80,300.30,496.00,-0.30,-2.00,1.00,6.70,232.60,401.50,-0.80,-47.60
0.00,1.30,199.20,288.90,0.50,-33.66,1.00,0.60,203.50,266.80,-0.50,33.66
0.00,5.60,320.70,365.10,0.50,-33.66,1.00,7.40,300.50,413.60,-0.50,33.66
0.00,7.50,249.00,427.00,0.50,-33.66,1.00,6.20,286.60,461.40,-0.50,33.66
0.00,1.00,298.30,332.00,0.50,-33.66,1.00,7.10,282.40,312.20,-0.50,33.66
0.00,8.90,366.00,307.70,0.50,-33.66,1.00,0.50,401.50,435.00,-0.50,33.66
1.00,7.10,324.30,446.80,-1.00,-9.80,0.00,0.70,287.30,380.80,0.60,-50.50
1.00,7.30,251.90,355.30,0.00,0.00,0.00,8.10,324.70,456.60,1.00,9.80
1.00,1.50,168.40,224.80,0.00,0.00,0.00,7.10,301.30,443.30,0.00,0.00
1.00,0.10,384.70,431.30,-0.60,50.50,0.00,8.40,271.20,333.40,0.00,0.00
1.00,6.80,268.20,407.80,0.00,0.00,0.00,1.30,195.70,229.10,0.00,0.00
0.00,4.60,204.80,293.00,-3.30,-167.70,1.00,1.60,240.10,252.30,1.40,48.80
0.00,6.40,297.30,374.50,-0.10,-19.30,1.00,0.30,349.40,353.00,-0.70,50.00
0.00,1.00,400.30,303.00,0.70,-50.00,1.00,6.70,345.50,303.80,1.40,48.80
0.00,4.30,302.70,289.20,-1.40,-48.80,1.00,6.50,289.00,393.80,0.10,19.30
0.00,1.20,199.10,169.30,-1.40,-48.80,1.00,7.90,370.60,460.70,3.30,167.70
1.00,0.20,412.30,263.00,-0.10,-23.60,0.00,0.30,331.50,286.60,0.10,23.60
1.00,6.40,237.20,384.30,-1.00,-76.80,0.00,1.20,211.10,234.60,-0.05,-16.60
1.00,0.90,223.00,231.70,0.05,16.60,0.00,7.40,318.00,461.10,1.00,76.80
1.00,6.10,247.50,376.10,-0.70,-92.10,0.00,7.00,375.20,329.40,-0.05,-16.60
1.00,7.40,336.50,365.50,0.05,16.60,0.00,6.80,272.10,468.20,0.70,92.10
1.00,1.30,186.40,206.10,-0.45,-23.70,0.00,0.40,363.50,316.60,0.00,0.00
1.00,5.60,368.40,392.00,-2.40,-9.80,0.00,7.20,434.10,308.60,0.45,23.70
1.00,0.30,381.10,359.70,0.00,0.00,0.00,1.30,203.70,253.80,0.45,23.70
1.00,7.80,268.10,422.90,0.00,0.00,0.00,7.60,347.50,599.30,0.00,0.00
1.00,6.30,310.00,308.90,-0.45,-23.70,0.00,8.00,294.90,401.80,2.40,9.80
1.00,7.80,363.20,352.40,0.74,77.86,0.00,0.20,264.10,243.40,-0.74,-77.86
1.00,1.40,226.70,321.90,0.74,77.86,0.00,3.90,217.60,366.30,-0.74,-77.86
1.00,6.80,436.40,437.80,0.74,77.86,0.00,8.50,364.50,475.30,-0.74,-77.86
1.00,0.90,383.10,414.10,0.74,77.86,0.00,7.80,314.40,348.70,-0.74,-77.86
1.00,7.40,495.90,533.80,0.74,77.86,0.00,0.20,207.30,237.00,-0.74,-77.86
1.00,6.60,352.20,448.90,1.00,51.20,0.00,0.70,298.60,290.10,0.10,-62.10
1.00,6.30,321.20,416.20,0.30,81.30,0.00,6.00,255.40,334.90,-0.30,-81.30
1.00,1.30,196.70,248.20,-0.45,-25.85,0.00,7.60,313.70,323.60,0.45,25.85
1.00,0.60,450.50,352.20,-0.10,62.10,0.00,1.70,181.90,252.30,0.45,25.85
1.00,7.10,280.30,276.00,-0.45,-25.85,0.00,5.60,253.50,397.70,-1.00,-51.20
1.00,6.50,339.00,420.10,0.30,36.60,0.00,1.20,152.50,247.10,-0.30,-36.60
1.00,2.10,238.90,325.30,0.30,36.60,0.00,6.90,260.50,333.50,-0.30,-36.60
1.00,0.10,314.70,360.00,0.30,36.60,0.00,0.80,321.30,348.20,-0.30,-36.60
1.00,7.30,280.50,353.70,0.30,36.60,0.00,7.30,341.00,416.10,-0.30,-36.60
1.00,7.70,347.10,468.40,0.30,36.60,0.00,6.00,230.30,399.60,-0.30,-36.60
