teamid,win,csPerMin,goldPerMin,xpPerMin,csDiffPerMin,xpDiffperMin,,
100,1,2.66,478.5,635.1,0.52,12.9,,
100,1,2.24,515.06,690.56,0.54,-96.52,,
100,0,2.08,514.52,740.82,-0.24,16.86,,
100,1,2.26,543.74,732.08,0.14,26.9,,
100,1,2.2,556.3,802.36,0.16,129.76,,
100,0,2.14,512.28,718.18,0,0,,
100,0,2.44,529.78,743.56,0,0,,
100,0,1.96,433.2,608.7,-0.3,-130.86,,
100,1,2.16,522.7,723.9,-0.22,-47.9,,
100,0,2,448.3,628.92,-0.5,-103.44,,
100,1,2.18,513.66,714.22,-0.18,14.48,,
100,1,2.14,565.72,784.28,0.14,44.9,,
100,1,2.56,569.46,823.16,0,0,,
100,1,2,596.04,844.76,-0.2,126.64,,
100,0,2.2,532.12,745.52,-0.24,-33.26,,
100,0,2.14,574.64,775.3,-0.02,12.2,,
100,1,2.16,575.32,749.6,0.28,158.04,,
100,0,5.14,279.96,352.58,0.26,3.86,,
100,0,4.72,292.06,364.22,-0.06,-20.52,,
100,1,4.1,294.62,353.8,1,58.16,,
100,0,3.78,253.26,311.18,-1.28,-35.78,,
100,1,2.24,470.34,647.66,0,0,,
100,1,2.52,521.76,714.04,0.56,88.94,,
100,1,2.3,529.18,725.6,0,0,,
100,0,2.2,529.8,712.88,0,0,,
100,1,2.12,506.38,693.14,-0.04,1.6,,
100,1,2.32,519.54,703.76,0.08,13.44,,
100,1,2.14,486.58,666.36,0.24,-31.4,,
100,0,1.66,450.84,633.96,-0.56,-68.64,,
100,1,2.2,527.42,724.12,0,0,,
100,0,2.06,481.48,670.42,-0.26,-19.84,,
100,0,1.9,507.2,681.76,-0.3,-158.16,,
100,0,2.26,483.98,680.24,0,0,,
100,0,1.96,499.54,686.56,-0.54,-127.64,,
100,0,2.2,482.1,683.06,-0.14,-4.28,,
100,1,2.48,513.6,691.58,1.1,68.9,,
100,1,2.24,505.76,694.22,0,0,,
