Name,Season,Region,Games,Winrate,KD,GPM,GDM,Killsgame,Deathsgame,Towerskilled,Towerslost,FBrate,FTrate,DRAPG,DRArate,HERPG,HERrate,DRA15,TD15,GD15,NASHPG,NASHrate,CSM,DPM,WPM,VWPM,WCPM
Hanwha Life eSports,S8,KR,46,0.543,1,1781,30,9.3,9.3,6.8,5.2,56.5,67.4,1.85,51.8,0.59,61.4,0.63,0.3,-75,0.76,61.7,34.3,1667,3.7,1.41,1.58
Jin Air Green Wings,S8,KR,45,0.311,0.76,1680,-138,6.9,9.1,4.6,7.3,51.1,42.2,1.67,40.1,0.4,42.9,0.62,-0.2,-540,0.42,34.5,35.1,1541,3.8,1.52,1.75
Kingzone DragonX,S8,KR,43,0.651,1.19,1833,131,10.5,8.8,7,4.2,62.8,65.1,2.4,66.8,0.53,60.5,0.79,0.6,833,0.7,64.6,36,1712,3.5,1.35,1.66
KT Rolster,S8,KR,43,0.674,1.14,1819,115,10.2,8.9,7.4,4.8,60.5,62.8,2,59.1,0.49,56.8,0.56,0.5,787,0.88,63.7,35.6,1835,3.6,1.41,1.64
MVP,S8,KR,41,0.268,0.66,1655,-222,7.1,10.7,3.4,7.8,43.9,29.3,1.29,34.1,0.29,33.3,0.61,-0.6,-957,0.34,25.9,33.7,1595,3.1,1.16,1.43
SK Telecom T1,S8,KR,44,0.455,0.86,1766,-30,9,10.3,5.7,6.1,52.3,45.5,2.11,53.3,0.48,53.8,0.8,-0.1,-198,0.66,47.3,35.1,1737,3.7,1.46,1.55
Afreeca Freecs,S9,KR,43,0.326,0.71,1700,-172,9.8,13.8,4.3,7,48.8,44.2,2,44.1,0.51,53.7,0.65,0.1,-394,0.51,32.3,32.5,1585,4.1,1.64,1.76
DAMWON Gaming,S9,KR,42,0.595,1.11,1863,96,11.6,10.4,6.6,5.1,33.3,50,2.52,59.9,0.5,50,0.95,0,-200,0.74,59.2,35.4,1737,3.9,1.39,1.77
Gen.G eSports,S9,KR,44,0.364,0.82,1748,-80,8.6,10.5,5,7.1,47.7,31.8,1.89,41.9,0.27,27.9,0.52,-0.1,-293,0.48,39.6,34.2,1516,4.1,1.49,1.89
Griffin,S9,KR,39,0.795,2.39,1952,283,14,5.8,7.7,2.9,79.5,71.8,2.28,61.2,0.62,63.2,0.64,0.4,2245,0.72,71.2,37.1,1727,3.8,1.31,1.78
Hanwha Life eSports,S9,KR,41,0.488,0.89,1758,-45,9.4,10.6,5.5,6,39,48.8,2.07,46.4,0.54,55,0.8,0,-253,0.71,53.9,33.5,1526,4.1,1.54,1.82
Jin Air Green Wings,S9,KR,38,0.079,0.54,1629,-306,6.6,11.9,2.1,9.3,44.7,34.2,1,21.5,0.47,47.4,0.47,-0.3,-1668,0.16,12.5,33,1385,3.8,1.51,1.6
Kingzone DragonX,S9,KR,39,0.692,1.25,1867,119,12.4,9.9,7.1,5.2,51.3,59,2.59,57.4,0.54,53.8,1,0,311,0.85,63.2,34.2,1789,4.1,1.67,1.88
KT Rolster,S9,KR,42,0.31,0.75,1717,-154,10.2,13.6,4.4,7.3,42.9,26.2,1.6,35.7,0.36,36.6,0.43,-0.4,-549,0.48,38.3,33,1627,3.6,1.36,1.68
Sandbox Gaming,S9,KR,44,0.636,1.06,1860,113,11,10.4,7.5,4,45.5,75,2.95,67.9,0.48,50,0.93,0.2,460,0.91,66.7,35.6,1795,3.9,1.53,1.95
SK Telecom T1,S9,KR,44,0.705,1.42,1871,141,11.6,8.1,7.5,4,68.2,56.8,2.77,61.7,0.64,63.6,0.84,0.2,343,0.75,64,35.6,1794,4.4,1.54,1.69
Afreeca Freecs,S9,KR,46,0.565,1.01,1804,30,12.3,12.2,6.6,5.3,50,65.2,2.59,55.8,0.57,56.5,1.13,0.5,802,0.87,58,33,1723,3.8,1.47,1.69
DAMWON Gaming,S9,KR,44,0.636,1.25,1886,129,13.3,10.4,6.9,4.5,34.1,47.7,2.73,63.8,0.52,53.5,1.02,-0.1,27,0.82,64.6,34.9,1885,3.8,1.49,1.84
Gen.G eSports,S9,KR,44,0.545,1.12,1772,6,9.2,8.3,5.3,5.8,61.4,27.3,1.86,43.6,0.3,30.2,0.59,-0.4,-313,0.7,53.5,33.7,1549,3.9,1.41,1.84
Griffin,S9,KR,42,0.69,1.72,1921,213,11.7,6.8,7.3,3.9,61.9,71.4,2.45,58.1,0.45,45.2,0.79,0.3,1662,0.79,68.9,37.1,1706,3.7,1.44,1.86
Hanwha Life eSports,S9,KR,42,0.357,0.92,1708,-111,9.5,10.3,4.6,7.1,57.1,50,1.57,36.4,0.52,52.4,0.64,-0.2,-484,0.6,37.1,32.3,1527,3.6,1.53,1.7
Jin Air Green Wings,S9,KR,40,0.1,0.52,1624,-312,7.1,13.7,2.5,8.8,40,37.5,1.2,26.3,0.43,42.5,0.53,-0.4,-1353,0.38,24.3,32,1475,4.4,1.73,1.69
Kingzone DragonX,S9,KR,46,0.5,0.94,1789,-1,10.9,11.6,5.7,5.9,50,63,2.26,54.4,0.65,65.2,0.74,0.2,-203,0.63,48.8,33.3,1676,4.3,1.59,1.78
KT Rolster,S9,KR,44,0.364,0.81,1730,-87,9.7,11.8,5.5,6.7,54.5,47.7,1.95,42.1,0.55,54.5,0.64,0,-470,0.66,40.5,32.9,1514,3.9,1.4,1.76
Sandbox Gaming,S9,KR,45,0.6,0.94,1804,29,10.5,11.1,6.5,4.9,44.4,48.9,2.73,58,0.53,53.3,0.96,0.1,199,0.78,55.7,34.1,1672,3.8,1.42,1.92
SK Telecom T1,S9,KR,43,0.605,1.18,1836,79,10.6,9,6.7,5.3,46.5,39.5,2.81,58.5,0.44,44.2,0.93,-0.1,33,0.63,47.3,35.1,1707,4.3,1.55,1.84
Afreeca Freecs,S10,KR,46,0.413,0.82,1667,-77,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,0.91,48.9,1.02,0,-475,0.54,42.5,31,1730,3.8,1.52,1.89
DAMWON Gaming,S10,KR,43,0.512,1.01,1784,54,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,1.19,64,1,0,15,0.74,49.5,33.7,1800,3.7,1.44,1.79
DragonX,S10,KR,46,0.674,1.42,1826,167,13.2,9.2,6.8,4.3,34.8,63,2.72,62.4,0.91,48.9,1.02,0.3,1434,0.7,62.4,34.2,1969,3.6,1.47,1.81
Gen.G eSports,S10,KR,44,0.705,1.59,1791,161,12.3,7.8,7.4,4.2,75,59.1,2.8,59.6,1,52.3,1.11,0.2,1203,0.8,69.9,33.1,1726,3.8,1.47,1.82
Griffin,S10,KR,45,0.356,0.83,1633,-133,8.9,10.7,4,7.3,53.3,31.1,1.8,36.8,0.64,36.7,0.8,-0.5,-842,0.27,25.7,32,1532,3.9,1.6,1.72
Hanwha Life eSports,S10,KR,45,0.378,0.72,1655,-144,9.3,12.9,4.4,7,46.7,46.7,2.04,40.4,1,53.3,0.89,-0.2,-1133,0.42,39.6,31.5,1709,3.7,1.68,1.66
KT Rolster,S10,KR,46,0.522,1.05,1725,31,9.5,9,6.4,5.5,52.2,63,2.67,57.2,1.09,54.3,1.24,0.4,420,0.54,48.8,32.6,1697,3.7,1.58,1.79
Sandbox Gaming,S10,KR,44,0.364,0.84,1683,-73,9.8,11.6,5.1,6.1,36.4,47.7,2.2,45.1,0.77,39.8,0.93,0,-113,0.45,41.7,32.7,1625,3.9,1.56,1.87
SeolHaeOne Prince,S10,KR,43,0.395,0.75,1668,-116,11,14.5,5,6.9,48.8,53.5,2.28,42.1,1.02,54.7,0.6,0,-925,0.67,50.5,31.2,1827,3.7,1.44,1.78
T1,S10,KR,44,0.682,1.5,1790,131,11.8,7.8,7.2,4.9,47.7,40.9,2.57,53.6,0.89,47.7,0.95,-0.1,342,0.75,65.8,34,1739,4,1.42,1.82
Afreeca Freecs,S10,KR,28,0.536,1.06,1745,-17,11.4,10.8,5.1,5.5,57.1,39.3,2.25,50.1,0.86,46.3,0.75,-0.4,-507,0.46,47.7,32.8,1841,3.5,1.35,1.64
DAMWON Gaming,S10,KR,28,0.857,2.2,1997,394,17.5,7.9,8.6,2,53.6,92.9,2.54,67.4,1.5,78.6,1.04,1.4,3022,0.71,85,34.4,2239,3.5,1.28,1.55
DragonX,S10,KR,35,0.714,1.23,1869,167,13,10.5,7.1,4.1,48.6,42.9,2.4,53.4,0.86,44.3,0.86,-0.1,1150,0.8,69.3,35.1,1997,3.5,1.25,1.72
Gen.G eSports,S10,KR,30,0.733,1.56,1875,195,14.8,9.5,7.8,3.7,63.3,80,3.13,68.6,1.47,75,1.27,0.5,1262,0.77,71.4,33.9,1958,3.8,1.58,1.76
Hanwha Life eSports,S10,KR,30,0.167,0.55,1612,-283,7.9,14.5,2.6,8.6,36.7,26.7,1.77,36.7,0.6,33.3,0.97,-0.4,-1441,0.23,23.3,31.8,1579,3.8,1.72,1.47
KT Rolster,S10,KR,30,0.4,0.85,1719,-77,10.1,11.8,5,6.3,60,53.3,2.3,45.3,1.03,51.7,1.17,0,-14,0.57,41.7,32.8,1819,3.6,1.51,1.82
Sandbox Gaming,S10,KR,32,0.406,0.82,1701,-97,10.4,12.8,4.3,6.4,40.6,53.1,2.03,43.8,0.97,53.2,0.81,-0.3,-868,0.38,38.5,32.7,1759,3.6,1.67,1.95
SeolHaeOne Prince,S10,KR,30,0.167,0.46,1591,-316,7.7,16.6,3.1,8,50,23.3,1.6,32.7,0.6,30,0.63,-0.9,-2468,0.3,19.1,31,1589,3.4,1.34,1.53
T1,S10,KR,31,0.645,1.57,1858,165,13.3,8.4,6.9,4.5,54.8,45.2,2.58,54.7,0.81,41.9,1.03,0.1,664,0.68,63.8,35.4,1889,4,1.44,1.9
Team Dynamics,S10,KR,32,0.375,0.76,1676,-125,9.6,12.6,4.4,5.9,37.5,46.9,2.38,48.2,0.97,48.4,1,0.1,-739,0.63,43.1,32.2,1702,3.6,1.37,1.71
